YearStart,YearEnd,LocationDesc,Class,Topic,Question,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Age group,Stratification2,ClassID
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,12.6,12.6,6.8,22,65 years or older,"Black, non-Hispanic",C04
2016,2016,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,28.5,28.5,26.7,30.4,65 years or older,"White, non-Hispanic",C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,29,29,27.3,30.9,50-64 years,Overall,C02
2015,2015,Arizona,Screenings and Vaccines,Cholesterol checked in past 5 years,Percentage of older adults who had a cholesterol screening within the past 5 years,94.7,94.7,93.3,95.8,65 years or older,"White, non-Hispanic",C03
2016,2016,Arizona,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,73.1,73.1,71.1,75,65 years or older,Overall,C03
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,28.5,28.5,20.6,37.9,50-64 years,"Black, non-Hispanic",C02
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,17.1,17.1,13.7,21.2,50-64 years,Hispanic,C04
2017,2017,Arizona,Screenings and Vaccines,Cholesterol checked in past 5 years,Percentage of older adults who had a cholesterol screening within the past 5 years,90.8,90.8,89,92.3,50-64 years,Male,C03
2016,2016,Arizona,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,58,58,54.3,61.5,50-64 years,Female,C03
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,24.8,24.8,14.7,38.5,Overall,"Black, non-Hispanic",C04
2016,2016,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,25.2,25.2,22.7,27.9,65 years or older,Male,C02
2016,2016,Arizona,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,,,,,Overall,Native Am/Alaskan Native,C03
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,26.9,26.9,25.3,28.6,Overall,Overall,C02
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,10,10,9.1,11.1,65 years or older,Overall,C04
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,,,,50-64 years,Asian/Pacific Islander,C04
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,,,,50-64 years,Asian/Pacific Islander,C03
2016,2016,Arizona,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,22.5,22.5,19.5,25.8,50-64 years,Overall,C03
2016,2016,Arizona,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,62.9,62.9,54.2,70.9,65 years or older,Hispanic,C03
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,17.3,17.3,14.3,20.8,50-64 years,Male,C04
2016,2016,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,,,,50-64 years,Asian/Pacific Islander,C02
2016,2016,Arizona,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",28.7,28.7,26.7,30.9,Overall,Female,C02
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,52.7,52.7,50.3,55,65 years or older,Overall,C03
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,10.2,10.2,6.8,15,65 years or older,Hispanic,C04
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,35.3,35.3,31.5,39.3,Overall,Hispanic,C02
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,,,,65 years or older,Native Am/Alaskan Native,C04
2016,2016,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,,,,65 years or older,Asian/Pacific Islander,C02
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,18,18,13,24.3,Overall,"Black, non-Hispanic",C04
2016,2016,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,25.9,25.9,23.4,28.6,50-64 years,"White, non-Hispanic",C02
2016,2016,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,8.1,8.1,7,9.2,65 years or older,"White, non-Hispanic",C04
2016,2016,Arizona,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,65.7,65.7,62.8,68.4,Overall,Male,C03
2016,2016,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,10.8,10.8,6.6,17.2,65 years or older,Hispanic,C04
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,12.4,12.4,10.9,14.1,Overall,Female,C04
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,,,,Overall,Native Am/Alaskan Native,C04
2016,2016,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,29.8,29.8,26.6,33.2,50-64 years,Female,C02
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,11.3,11.3,8.8,14.3,65 years or older,Male,C04
2016,2016,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,19.3,19.3,16.1,22.9,50-64 years,Male,C04
2015,2015,Arizona,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",45.9,45.9,40.8,51.1,50-64 years,"White, non-Hispanic",C03
2016,2016,Arizona,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,39,39,27,52.4,50-64 years,Native Am/Alaskan Native,C03
2016,2016,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,34.6,34.6,26,44.4,Overall,"Black, non-Hispanic",C02
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,6.7,6.7,5.4,8.2,65 years or older,Female,C04
2016,2016,Arizona,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,57.5,57.5,53.1,61.8,50-64 years,Male,C03
2015,2015,Arizona,Screenings and Vaccines,Cholesterol checked in past 5 years,Percentage of older adults who had a cholesterol screening within the past 5 years,88.6,88.6,86.6,90.4,50-64 years,Overall,C03
2015,2015,Arizona,Screenings and Vaccines,Cholesterol checked in past 5 years,Percentage of older adults who had a cholesterol screening within the past 5 years,91.1,91.1,89.1,92.7,50-64 years,"White, non-Hispanic",C03
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,30.1,30.1,28.9,31.3,Overall,Overall,C02
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,,,,65 years or older,Asian/Pacific Islander,C04
2016,2016,Arizona,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,64.4,64.4,62,66.6,Overall,Female,C03
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,28.6,28.6,26,31.3,65 years or older,Female,C02
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,,,,Overall,Asian/Pacific Islander,C04
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,9,9,7.9,10.2,65 years or older,Female,C04
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,16.5,16.5,15.1,18,Overall,Male,C04
2016,2016,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,,,,65 years or older,Native Am/Alaskan Native,C04
2015,2015,Arizona,Screenings and Vaccines,Cholesterol checked in past 5 years,Percentage of older adults who had a cholesterol screening within the past 5 years,92.9,92.9,91.7,93.9,Overall,"White, non-Hispanic",C03
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,24.4,24.4,21.8,27.2,50-64 years,"White, non-Hispanic",C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",42.1,42.1,32.8,52,50-64 years,"Black, non-Hispanic",C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,,,,65 years or older,Asian/Pacific Islander,C02
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,,,,65 years or older,Native Am/Alaskan Native,C04
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,,,,65 years or older,"Black, non-Hispanic",C04
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,12.4,12.4,7.4,20,50-64 years,Native Am/Alaskan Native,C04
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,,,,50-64 years,Asian/Pacific Islander,C02
2016,2016,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,,,,50-64 years,"Black, non-Hispanic",C04
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,38.5,38.5,35.1,42.1,50-64 years,Female,C03
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,64.5,64.5,50.4,76.4,65 years or older,Native Am/Alaskan Native,C03
2016,2016,Arizona,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,,,,,65 years or older,"Black, non-Hispanic",C03
2016,2016,Arizona,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,73.3,73.3,63.1,81.5,50-64 years,Hispanic,C03
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,48.8,48.8,47.2,50.5,Overall,Female,C03
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,43.7,43.7,41.9,45.6,Overall,Overall,C03
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,58.1,58.1,49.8,66.1,Overall,Native Am/Alaskan Native,C03
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,39.5,39.5,37.6,41.4,50-64 years,Overall,C03
2017,2017,Arizona,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,66.1,66.1,63.8,68.2,50-64 years,"White, non-Hispanic",C03
2016,2016,Arizona,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,41.4,41.4,32.3,51.3,65 years or older,Hispanic,C03
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,6,6,5,7.3,Overall,Female,C04
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,Overall,"Black, non-Hispanic",C04
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,8,8,4.9,12.9,65 years or older,Hispanic,C04
2016,2016,Arizona,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,49.9,49.9,47.5,52.3,Overall,"White, non-Hispanic",C03
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,11.2,11.2,9.6,13,65 years or older,Male,C04
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,65 years or older,"Black, non-Hispanic",C04
2017,2017,Arizona,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,70.7,70.7,65.3,75.5,50-64 years,Hispanic,C03
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,4.4,4.4,3.6,5.4,65 years or older,Overall,C04
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,34.7,34.7,23.3,48.3,Overall,"Black, non-Hispanic",C03
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,25.1,25.1,21.3,29.2,50-64 years,Male,C02
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,66.3,66.3,51.4,78.5,Overall,Native Am/Alaskan Native,C03
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,54.1,54.1,51.7,56.5,65 years or older,"White, non-Hispanic",C03
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,,,,50-64 years,Asian/Pacific Islander,C03
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,65 years or older,Hispanic,C04
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,65 years or older,"Black, non-Hispanic",C04
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,Overall,Asian/Pacific Islander,C04
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,41.8,41.8,36.2,47.6,Overall,Hispanic,C03
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,37.8,37.8,35.3,40.4,50-64 years,Overall,C03
2017,2017,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,10.7,10.7,8.4,13.5,Overall,Hispanic,C04
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,55.6,55.6,49,61.9,65 years or older,Hispanic,C03
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,35.9,35.9,33.1,38.7,50-64 years,Male,C03
2016,2016,Arizona,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,,,,,50-64 years,"Black, non-Hispanic",C03
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,3.3,3.3,2.5,4.4,65 years or older,Female,C04
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,41,41,29.7,53.3,65 years or older,"Black, non-Hispanic",C02
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,51.9,51.9,49,54.8,65 years or older,Female,C03
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,52.2,52.2,49.6,54.8,65 years or older,Female,C03
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,17.6,17.6,14.6,21.1,50-64 years,Male,C04
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,4.6,4.6,3.6,5.7,Overall,Female,C04
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,50-64 years,Asian/Pacific Islander,C04
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,38.6,38.6,36.5,40.8,50-64 years,"White, non-Hispanic",C03
2017,2017,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,13.1,13.1,10,16.9,50-64 years,Hispanic,C04
2017,2017,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,12.9,12.9,11.6,14.3,Overall,Male,C04
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,55.1,55.1,53,57.2,65 years or older,Female,C03
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,8.2,8.2,6.1,10.9,65 years or older,Male,C04
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,Overall,Asian/Pacific Islander,C04
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,42.3,42.3,28.6,57.3,50-64 years,Asian/Pacific Islander,C03
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,44.2,44.2,36.3,52.4,65 years or older,Hispanic,C03
2017,2017,Arizona,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,68,68,65.9,70,Overall,Male,C03
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,34.3,34.3,20.1,51.8,Overall,Asian/Pacific Islander,C03
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,67.7,67.7,51.2,80.8,65 years or older,Native Am/Alaskan Native,C03
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,15.7,15.7,12.7,19.3,50-64 years,Male,C04
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,28.2,28.2,26.1,30.4,Overall,Female,C02
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,41.6,41.6,28.9,55.5,50-64 years,"Black, non-Hispanic",C03
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,38.9,38.9,29.3,49.4,Overall,"Black, non-Hispanic",C03
2017,2017,Arizona,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,67.9,67.9,66.5,69.2,Overall,Overall,C03
2017,2017,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,5.2,5.2,2.9,9,65 years or older,Hispanic,C04
2017,2017,Arizona,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,48.1,48.1,31.5,65.1,65 years or older,Native Am/Alaskan Native,C03
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,53.6,53.6,49.8,57.3,65 years or older,Male,C03
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,55,55,53.4,56.6,65 years or older,Overall,C03
2016,2016,Arizona,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,,,,,65 years or older,Asian/Pacific Islander,C03
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,34.4,34.4,29.5,39.6,Overall,Hispanic,C03
2017,2017,Arizona,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,71.8,71.8,63.8,78.6,65 years or older,Hispanic,C03
2017,2017,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,18.3,18.3,16.2,20.6,50-64 years,Male,C04
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,41.6,41.6,36.7,46.7,50-64 years,Hispanic,C03
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,19.4,19.4,17.8,21.3,50-64 years,"White, non-Hispanic",C04
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,50-64 years,Native Am/Alaskan Native,C04
2017,2017,Arizona,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,69.4,69.4,66.6,72,65 years or older,Male,C03
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,4.9,4.9,3.9,6.3,65 years or older,Overall,C04
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,42.5,42.5,39.7,45.3,Overall,Male,C03
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,65 years or older,Native Am/Alaskan Native,C04
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,54.8,54.8,53.1,56.5,65 years or older,"White, non-Hispanic",C03
2016,2016,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,14.8,14.8,12.9,17,Overall,Male,C04
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,37.7,37.7,26.8,50,50-64 years,Native Am/Alaskan Native,C03
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,65 years or older,Native Am/Alaskan Native,C04
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,8.6,8.6,7.2,10.2,65 years or older,"White, non-Hispanic",C04
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,,,,65 years or older,Hispanic,C04
2017,2017,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,12.7,12.7,11.5,14,50-64 years,Overall,C04
2016,2016,Arizona,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,,,,,Overall,Asian/Pacific Islander,C03
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,12.8,12.8,11,14.8,50-64 years,Overall,C04
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,44.8,44.8,42.4,47.1,Overall,Female,C03
2015,2015,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,9.2,9.2,6.2,13.3,Overall,Hispanic,C04
2016,2016,Arizona,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,9.4,9.4,6.5,13.4,Overall,Hispanic,C04
2017,2017,Arizona,Screenings and Vaccines,High blood pressure ever,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,57.7,57.7,55.4,60.1,65 years or older,Male,C03
2016,2016,Arizona,Nutrition/Physical Activity/Obesity,No leisure time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,41.1,41.1,31.4,51.5,Overall,Native Am/Alaskan Native,C02
2017,2017,Arizona,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,50.3,50.3,39.9,60.7,Overall,Native Am/Alaskan Native,C03
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,44.3,44.3,41.7,46.9,Overall,Male,C03
2015,2015,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,,,,50-64 years,"Black, non-Hispanic",C03
2016,2016,Arizona,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,64.8,64.8,53.4,74.7,Overall,"Black, non-Hispanic",C03
